,titles,abstarcts
482,"
                  complex*16 A(LDA,*), TAUA(min(N,M)), B(LDB,*), TAUB(min(N,P)),
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08ZSF (ZGGQRF) computes a generalized QR factorization of a complex matrix pair ðA; BÞ, where A is an n by ..."""
483,"
                  For ApJSuppl: final draft — lda, October 20, 2008 The Molecular Properties of Galactic H II Regions
                  ","""... We derive the molecular properties for a sample of 301 Galactic Hii regions including 123 ultra compact (UC), 105 compact, and 73 diffuse nebulae. We analyze all sources within the BU-FCRAO Galactic Ring Survey (GRS) of 13 CO emission known to be Hii regions based upon the presence of radio continuu ..."""
484,"
                  MANUSCRIPT, SUBMITTED TO IEEE SIGNAL PROCESSING LETTERS 1 Noise-adaptive LDA: A
                  ","""... new approach for speech recognition under observation uncertainty ..."""
485,"
                  l   Related Work and Contributions l   Reranking Strategies Based on LDA l   Aspect Discovery and Transformation
                  ","""... l   Background l   Traditional IR models assume that the relevance of a document is independent of the relevance of other documents. l   Aspect search in biomedical IR l   In many cases, the desired information of a question (query) asked by biologists is a list of a certain type of entities coverin ..."""
486,"
                  Biomedical Informatics Insights 2011:4 1 comparison of LDA and spRT on clinical Dataset Classifications
                  ","""... This is an open access article. Unrestricted non-commercial use is permitted provided the original work is properly cited. Open Access Full open access to this and thousands of other papers at ..."""
487,"
                  Validation of JRA-JCDAS LDA and GRiveT Terrestrial Water Storage Model Using GRACE Satellite Gravity Data
                  ","""... Since the successful launch in 2002, dedicated satellite gravity mission GRACE (Gravity recovery and Climate Experiment, Tapley et al., 2004) has provided monthly gravity field solutions as spherical harmonic coefficients with unprecedented accuracy. The mass variations derived from the gravity fiel ..."""
488,"
LDA Conjugate Addition to a Morita-Baylis-Hillman Ester: Experimental and DFT-based Theoretical Observations
                  ","""... The Morita-Baylis-Hillman (MBH) reaction is well known for providing valuable building blocks in organic synthesis. In the last few years it has been demonstrated that not only the MBH adducts itself ..."""
489,"
                  On the Comparison of Multiple Signature LDA and Neural Network Based Broken Rotor Bar Detection Schemes in Induction Motors
                  ","""... Abstract – Broken rotor bars in induction motors can be detected by monitoring any abnormality of the spectrum amplitudes at certain frequencies in the motor current spectrum. Broken rotor bar fault detection schemes should rely on multiple signatures in order to overcome or reduce the effect of any ..."""
490,"
                  Maximum Likelihood Discriminant Feature Spaces
                  ","""... Linear discriminant analysis (LDA) is known to be inappropriate for the case of classes with unequal sample covariances. In recent years, there has been an interest in generalizing LDA to heteroscedastic discriminant analysis (HDA) by removing the equal within-class covariance constraint. This paper ..."""
491,"
                  Modeling User Rating Profiles for Collaborative Filtering
                  ","""... In this paper we present a generative latent variable model for  rating-based collaborative filtering called the User Rating Profile  model (URP). The generative process which underlies URP is designed  to produce complete user rating profiles, an assignment of  one rating to each item for each user ..."""
492,"
                  Discriminative common vectors for face recognition
                  ","""...  In face recognition tasks, the dimension of the sample space is typically larger than the number of the samples in the training set. As a consequence, the within-class scatter matrix is singular and the Linear Discriminant Analysis (LDA) method cannot be applied directly. This problem is known as t ..."""
493,"
                  Semi-supervised discriminant analysis
                  ","""... Linear Discriminant Analysis (LDA) has been a popular method for extracting features which preserve class separability. The projection vectors are commonly obtained by maximizing the between class covariance and simultaneously minimizing the within class covariance. In practice, when there is no suf ..."""
